"cnpj","nome_coop","auditorIndependente","mudou_auditor","situacao","uf","endereco_eletronico","segmento_prudencial","numeroAgencias","Ativo_Total","Patrimonio_Liquido","Despesas_Operacionais","Receitas_Operacionais","Depositos_totais","Caixa","Disponibilidades","Sobras","PECLD","Capital_social","Compensacao","Carteira_credito","Classificacao_carteira_credito","regiao","municipio","classe","criterio_de_associacao","categ_coop_sing","filiacao","big_four","data_inicio_atividades","idade_em_2022","total_de_cooperados","cooperados_pf","cooperados_pj","Passivo_Total"
34148882,"COOPERATIVA CENTRAL DE CRÉDITO DA BAHIA LTDA  SICOOB CENTRAL BA","BAUER AUDITORES ASSOCIADOS",0,"Autorizada em Atividade","BA","www.sicoob-ba.com.br","S4",0,86654247244,7465107694,-1278389180,1319938555,854395597,NA,1649081,215021089,-11382609,4631926045,11981321532,2276521768,2276521768,"Nordeste","SALVADOR","Central",NA,NA,NA,0,"1989-09-05",33,NA,NA,NA,86654247244
25683434,"COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES",0,"Autorizada em Atividade","MG","http://www.sicoobcrediminas.com.br/","S4",1,1277328994646,59902195509,-12868001900,13705918222,NA,NA,2831056,1429468756,-44887769,54902932569,261209785049,8977553633,8977553633,"Sudeste","BELO HORIZONTE","Central",NA,NA,NA,1,"1989-03-06",33,NA,NA,NA,1277328994646
63917579,"COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO","ERNST AND YOUNG",0,"Autorizada em Atividade","SP","www.sicoobsp.coop.br","S4",0,741651265397,25776621811,-8163942284,8743305186,49364275331,NA,400854,569564818,-1885565,21968185649,17750681697,377112935,377112935,"Sudeste","RIBEIRAO PRETO","Central",NA,NA,NA,1,"1990-07-12",32,NA,NA,NA,741651265397
3502131,"COOPERATIVA CENTRAL DE CRÉDITO DO NORTE DO BRASIL - SICOOB NORTE","AUDICONSULT AUDITORES SS",0,"Autorizada em Atividade","RO","www.sicoobnorte.com.br","S4",0,218084722971,8411973634,-2460080739,2571652980,152025299,NA,300000,244953873,NA,7998542718,29652093093,533680139,533680139,"Norte","PORTO VELHO","Central",NA,NA,NA,0,"1999-11-09",23,NA,NA,NA,218084722971
7202627,"COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CRESOL CENTRAL SC/RS","MOORE PRISMA AUDITORES INDEPENDENTES",1,"Autorizada em Atividade","SC","www.cresolcentral.com.br","S4",0,306733648052,5426006924,-3494675977,3707980895,19910563763,"5525,82",251500979,149560959,-169430,4816120660,112073260500,33886008,33886008,"Sul","CHAPECO","Central",NA,NA,"CRESOL CONFEDERAÇÃO",0,"2005-02-01",17,NA,NA,NA,306733648052
543968,"COOPERATIVA CENTRAL DE CRÉDITO UNICRED CONEXÃO LTDA - UNICRED CENTRAL CONEXÃO","ERNST & YOUNG AUDITORES INDEPENDENTES S/S",0,"Autorizada em Atividade","SC","https://www.unicred.com.br/centralscpr/","S4",0,335482943223,12953380866,-6045936543,6220156755,NA,NA,6433290,65196650,NA,12749798535,15462967696,NA,NA,"Sul","FLORIANOPOLIS","Central",NA,NA,"CONF NAC COOP CENTRAIS UNICRED",1,"1995-04-12",27,NA,NA,NA,335482943223
33737818,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DE MATO GROSSO DO SUL, GOIÁS, DISTRITO FEDERAL E TOCANTINS  CENTRAL SICREDI BRASIL CENTRAL","ERNST & YOUNG AUDITORES INDEPENDENTES S/S",0,"Autorizada em Atividade","GO",NA,"S4",0,203279868420,6579261539,-7067132915,7152108436,NA,NA,521212,NA,NA,6331065289,15371802034,NA,NA,"Centro-Oeste","GOIANIA","Central",NA,NA,NA,1,"1990-04-06",32,NA,NA,NA,203279868420
33667205,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO NORTE DO BRASIL - CENTRAL SICREDI CENTRO NORTE","ERNST & YOUNG AUDITORES INDEPENDENTES S/S",0,"Autorizada em Atividade","MT","www.sicredi.com.br","S4",0,319103239513,15335019268,-13036113289,13190181950,NA,NA,NA,82508056,NA,14729762618,21131526607,NA,NA,"Centro-Oeste","CUIABA","Central",NA,NA,NA,1,"1989-10-19",33,NA,NA,NA,319103239513
70119680,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORTE/NORDESTE - CENTRAL SICREDI NORTE/NORDESTE","ERNST & YOUNG AUDITORES INDEPENDENTES S/S",0,"Autorizada em Atividade","PB","www.sicredinne.com.br","S4",0,378005964617,17210643898,-7008387271,7183420501,NA,NA,938639,293900796,-103726583,16510097119,19634443387,13701235030,13701235030,"Nordeste","CABEDELO","Central",NA,NA,NA,1,"1994-07-01",28,NA,NA,NA,378005964617
87437687,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE","ERNST & YOUNG AUDITORES INDEPENDENTES S/S",0,"Autorizada em Atividade","RS",NA,"S3",0,813934961091,41656257150,-31178097850,31182190956,NA,NA,NA,NA,NA,40609415738,40460651218,NA,NA,"Sul","PORTO ALEGRE","Central",NA,NA,NA,1,"1981-05-12",41,NA,NA,NA,813934961091
80230774,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ","ERNST & YOUNG AUDITORES INDEPENDENTES S/S",0,"Autorizada em Atividade","PR",NA,"S3",0,1384698172464,32037113330,-34508562131,34567957892,NA,NA,NA,NA,NA,31890114047,28304877450,NA,NA,"Sul","CURITIBA","Central",NA,NA,NA,1,"1987-08-11",35,NA,NA,NA,1384698172464
86774775,"COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DAS UNICREDS DO ESTADO DO RIO DE JANEIRO E DO MATO GROSSO LTDA   UNICRED CENTRAL RJ/MT","ERNST & YOUNG AUDITORES INDEPENDENTES S/S",0,"Autorizada em Atividade","RJ","www.unicred.com.br/centralrjmt","S4",0,76821673809,3285045812,-1448998256,1489662638,435413707,"485,33",633700,NA,NA,3282985240,2957083693,NA,NA,"Sudeste","RIO DE JANEIRO","Central",NA,NA,"CONF NAC COOP CENTRAIS UNICRED",1,"1994-02-23",28,NA,NA,NA,76821673809
51010858,"COOPERATIVA DE CAPITAL E EMPRÉSTIMO COOPERMULTICRED - COOPERMC","PADRAO AUDITORIA S/S",0,"Autorizada em Atividade","SP","www.coopermc.com.br","S5",0,12924253933,3971794831,-114722959,233549699,NA,NA,996212,83279196,-60765211,3575173691,8798685358,3518232037,3518232037,"Sudeste","GUARULHOS","Singular","Empregados ou Servidores","Capital e Empréstimo",NA,0,"1982-08-25",40,2338,2338,0,12924253933
3128973,"COOPERATIVA DE CREDITO , POUPANÇA E INVESTIMENTO DO ESTADO DO PIAUÍ - SICREDI PIAUÍ","ERNST & YOUNG AUDITORES INDEPENDENTES S/S",0,"Autorizada em Atividade","PI","www.sicredi.com.br/piaui/","S5",4,20303012437,1004017326,-466768917,498777569,6013844422,"348633,08",70783438,8088112,-132625749,925829339,12447111758,4082204314,4082204314,"Nordeste","TERESINA","Singular","Atividade Profissional","Clássica","CENTRAL SICREDI NORTE/NORDESTE",1,"1999-04-27",23,3017,2303,714,20303012437
971300,"COOPERATIVA DE CREDITO COM INTERACAO SOLIDARIA PIONEIRA - CRESOL PIONEIRA","Ernst and Young",0,"Autorizada em Atividade","PR","www.cresol.com.br","S5",19,179748988231,9435449976,-3647481845,4241536662,29288106156,"4713035,19",666096648,867099336,-1774236038,6685335000,89000039904,74392648650,74392648650,"Sul","DOIS VIZINHOS","Singular","Livre Admissão","Clássica","CCC INT SOL CENTRAL CRESOL BASER",1,"1995-12-05",27,19608,16714,2894,179748988231
966246,"COOPERATIVA DE CREDITO CREDICERIPA - SICOOB CREDICERIPA","MOORE PRISMA AUDITORES INDEPENDENTES",0,"Autorizada em Atividade","SP","www.crediceripa.com.br","S4",29,310297655488,7598490639,-3651769809,4428138846,49868266486,"10883695,84",1088764174,410394790,-1335619018,3748511176,240680556143,41284295460,41284295460,"Sudeste","ITAI","Singular","Livre Admissão","Plena","CCC DO ESTADO DE SÃO PAULO",0,"1995-11-13",27,27515,18553,8962,310297655488
54037916,"COOPERATIVA DE CREDITO CREDICITRUS","ERNST & YOUNG AUDITORES INDEPENDENTES S/S",0,"Autorizada em Atividade","SP","www.credicitrus.com.br","S4",118,4445450799632,171822871461,-33502797439,41919818540,396494126242,"26966923,10",2713837526,10557816711,-28956184003,128708055446,3633253558938,419997775145,419997775145,"Sudeste","BEBEDOURO","Singular","Livre Admissão","Plena","CCC DO ESTADO DE SÃO PAULO",1,"1984-12-17",38,160704,133939,26765,4445450799632
1604998,"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO SUL DE MINAS LTDA - SICOOB CREDIVASS","BAUER AUDITORES ASSOCIADOS",0,"Autorizada em Atividade","MG","www.sicoobcredivass.com.br","S5",70,276403029311,8751204612,-4156061450,5465049138,51942190943,"16660603,25",1666060325,987392710,-1539077522,4048060006,202320260606,43995998935,43995998935,"Sudeste","SAO GONCALO DO SAPUCAI","Singular","Livre Admissão","Clássica","CCC MINAS GERAIS - CREDIMINAS",0,"1996-12-23",26,43983,32922,11061,276403029311
968602,"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO VALE DO SÃO PATRICIO LTDA.","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES",0,"Autorizada em Atividade","GO",NA,"S5",2,119320245222,11071576077,-1690755508,1877114492,15695163807,"394794,27",39479427,264117047,-1356268084,9347987046,84314657260,12915358226,12915358226,"Centro-Oeste","GOIANESIA","Singular","Livre Admissão","Clássica","CENTRAL SICOOB UNI DE CC",1,"1984-09-12",38,2166,1470,696,119320245222
53776852,"COOPERATIVA DE CREDITO DOS FORNECEDORES DE CANA E DEMAIS PRODUTORES RURAIS DO CENTRO DO ESTADO DE SAO PAULO - CREDICENTRO","SACHO - AUDITORES INDEPENDENTES",0,"Autorizada em Atividade","SP","www.credicentrosp.com.br","S5",0,6632907459,1451864471,-184644725,173667078,773752325,"108159,04",90908074,-82425719,-330381761,486987072,4330396688,1078331192,1078331192,"Sudeste","ARARAQUARA","Singular","Produtor Rural","Clássica",NA,0,"1984-09-10",38,521,470,51,6632907459
71432926,"COOPERATIVA DE CREDITO DOS PROFISSIONAIS DE SAUDE DO TRIANGULO MINEIRO E SUL DE MINAS LTDA.-UNICRED PROGRESSO","SACHO - AUDITORES INDEPENDENTES",0,"Autorizada em Atividade","MG","www.unicredmg.com.br","S5",6,56699855746,2067834665,-640863273,717251336,15372119595,"899708,39",90537266,85606191,-88462525,1296638183,38802925304,6447244754,6447244754,"Sudeste","UBERABA","Singular","Atividade Profissional","Clássica","CC UNICRED CENTRAL MULTIRREGIONAL LTDA. - UCM",0,"1993-12-22",29,3506,2893,613,56699855746
27302181,"COOPERATIVA DE CREDITO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DO ESPIRITO SANTO","HUGO FRANCISCO SACHO",0,"Autorizada em Atividade","ES","www.credufes.coop.br","S5",2,2756179030,900153796,-156657095,161943785,159308999,"65052,56",36322930,-235112454,-52268336,1091416229,1423380498,1026656158,1026656158,"Sudeste","VITORIA","Singular","Empregados ou Servidores","Clássica",NA,0,"1982-01-08",40,1144,1144,0,2756179030
4281182,"COOPERATIVA DE CREDITO E ECONOMIA COM INTERACAO SOLIDARIA DE CHAPECO - CRESOL CHAPECO","MOORE PRISMA AUDITORES INDEPENDENTES",1,"Autorizada em Atividade","SC","www.cresolcentral.com.br","S5",5,16232722892,1175344211,-508956482,615494026,4339395348,"66440,82",56530588,-2461952,-304576206,994898300,7062166617,5939733488,5939733488,"Sul","CHAPECO","Singular","Livre Admissão","Clássica","CCCR CRESOL CENTRAL BRASIL",0,"2001-01-25",21,6820,5878,942,16232722892
73254757,"COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDARIA DE QUILOMBO - CRESOL QUILOMBO","MOORE PRISMA AUDITORES INDEPENDENTES",1,"Autorizada em Atividade","SC","www.cresolcentral.com.br","S5",5,11517491910,786488911,-258882473,298745352,3144812711,"2976,53",298562,-8253018,-91512318,626059300,5226015548,4081176399,4081176399,"Sul","QUILOMBO","Singular","Livre Admissão","Clássica","CCCR CRESOL CENTRAL BRASIL",0,"1993-08-24",29,5903,5544,359,11517491910
63229629,"COOPERATIVA DE CREDITO RURAL ASCOOB SISAL","IDERALDO LUIZ AGOSTINHO DE MORAES",0,"Autorizada em Atividade","BA","www.ascoobserrinha.com.br","S5",12,12783254142,423910942,-639213325,723273440,6922437965,"548538,25",62418474,-708226808,-200182807,974170300,4867744261,2831854825,2831854825,"Nordeste","SERRINHA","Singular","Produtor Rural","Clássica","CC ASCOOB CENTRAL",0,"1992-02-18",30,39471,37429,2042,12783254142
5220232,"COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA CONEXÕES -CRESOL CONEXÕES","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES",0,"Autorizada em Atividade","RS","http://cresolsicoper.com.br/","S5",3,10018143550,495630413,-390520567,413184086,2819978096,"169800,90",54178864,-19924259,-75003965,450587200,5268558499,3843220725,3843220725,"Sul","SANTA MARIA","Singular","Livre Admissão","Clássica","CCCR CRESOL SICOPER",1,"2002-07-25",20,3689,3040,649,10018143550
5220243,"COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE SARANDI-CRESOL SARANDI","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES",0,"Autorizada em Atividade","RS","www.cresolsicoper.com.br","S5",5,17196154537,831469576,-673280374,585549250,4593507932,"438594,79",75178766,23265305,-359995223,706208500,9423559634,5941836896,5941836896,"Sul","SARANDI","Singular","Livre Admissão","Clássica","CCCR CRESOL SICOPER",1,"2002-08-02",20,6711,5846,865,17196154537
32422628,"COOPERATIVA DE CREDITO RURAL DE GUACUI - CREDIGUAÇUÍ","LINEAR AUDITORES INDEPENDENTES SOCIEDADE SIMPLES",0,"Autorizada em Atividade","ES",NA,"S5",0,3430760509,797687947,-129390668,144536080,660669312,"94065,87",78281262,4608393,-78987543,177459702,1855361384,401576699,401576699,"Sudeste","GUACUI","Singular","Produtor Rural","Clássica",NA,0,"1989-08-09",33,714,600,114,3430760509
8240446,"COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM","LINEAR AUDITORES INDEPENDENTES SOCIEDADE SIMPLES",0,"Autorizada em Atividade","SC","https://www.sulcredi.com.br/ibiam/","S5",4,3330656125,345573698,-129747354,141654789,1559118174,"136802,48",138445788,14680212,-10700663,278835060,1331867608,898656470,898656470,"Sul","IBIAM","Singular","Produtor Rural","Clássica",NA,0,"2006-08-23",16,2502,2383,119,3330656125
26563270,"COOPERATIVA DE CREDITO RURAL DE PRIMAVERA DO LESTE","FABIO EDUARDO DE ALMEIDA BAUER",0,"Autorizada em Atividade","MT","www.primacredi.com.br","S5",2,175365845535,9588030651,-2279693096,2803619095,32119522532,"647424,43",74577980,821249287,-2601761737,6691513502,128679161095,29836796438,29836796438,"Centro-Oeste","PRIMAVERA DO LESTE","Singular","Produtor Rural","Clássica",NA,0,"1991-02-18",31,4596,3661,935,175365845535
3485130,"COOPERATIVA DE CREDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDARIA DAS ENCOSTAS DA SERRA GERAL  CRESOL ENCOSTAS DA SERRA GERAL","MOORE PRISMA AUDITORES INDEPENDENTES",1,"Autorizada em Atividade","SC","www.cresolcentral.com.br","S5",9,22009903554,1144388235,-633568458,787096650,9540992238,"116836,55",49853297,10495307,-130522204,952246600,8408505008,7374875636,7374875636,"Sul","SANTA ROSA DE LIMA","Singular","Livre Admissão","Clássica","CCCR CRESOL CENTRAL BRASIL",0,"1999-10-29",23,16109,15007,1102,22009903554
7958405,"COOPERATIVA DE CREDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDARIA DE RIO FORTUNA - CRESOL RIO FORTUNA","MOORE PRISMA AUDITORES INDEPENDENTES",1,"Autorizada em Atividade","SC","www.cresolcentral.com.br","S5",4,11357912768,687078965,-305294843,338331145,5157225285,"450661,43",93032402,13565537,-59347118,445176900,4226782136,3734656420,3734656420,"Sul","RIO FORTUNA","Singular","Livre Admissão","Clássica","CCCR CRESOL CENTRAL BRASIL",0,"2006-04-05",16,5269,4891,378,11357912768
9488496,"COOPERATIVA DE CREDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDARIA DE SÃO JOÃO DO SUL - CRESOL SÃO JOÃO DO SUL","MOORE PRISMA AUDITORES INDEPENDENTES",1,"Autorizada em Atividade","SC",NA,"S5",2,7460019427,422486567,-202408722,228547307,2360039318,"4217,75",44943914,25098925,-61133799,289313700,3157680671,2785436263,2785436263,"Sul","SAO JOAO DO SUL","Singular","Livre Admissão","Clássica","CCCR CRESOL CENTRAL BRASIL",0,"2008-04-01",14,4010,3728,282,7460019427
9330158,"COOPERATIVA DE CREDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDARIA DE TREZE DE MAIO - CRESOL TREZE DE MAIO","MOORE PRISMA AUDITORES INDEPENDENTES",1,"Autorizada em Atividade","SC",NA,"S5",2,7481021598,359538521,-218974074,262648697,3446243531,"41347,85",37089828,-8571219,-113944845,317914600,2670408587,2265722381,2265722381,"Sul","TREZE DE MAIO","Singular","Livre Admissão","Clássica","CCCR CRESOL CENTRAL BRASIL",0,"2008-01-11",14,3639,3367,272,7481021598
5428587,"COOPERATIVA DE CREDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE OLIVEIRA DOS BREJINHOS - CRESOL OLIVEIRA DOS BREJINHOS","MOORE PRISMA AUDITORES INDEPENDENTES",1,"Autorizada em Atividade","BA","www.cresolcentral.coop.br","S5",0,501517302,63596879,-29664027,29345156,218183235,"6781,07",17902783,-6226128,-3741338,55170800,189776163,160948078,160948078,"Nordeste","OLIVEIRA DOS BREJINHOS","Singular","Livre Admissão","Clássica","CCCR CRESOL CENTRAL BRASIL",0,"2002-12-11",20,2296,2241,55,501517302
82639451,"COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI","ERNST & YOUNG AUDITORES INDEPENDENTES S/S",0,"Autorizada em Atividade","SC","www.viacredi.coop.br","S4",109,1627257457560,167627535863,-42527929368,53567939894,580407458453,"30583666,95",3069099147,14858323408,-25926123714,115983015881,833025370308,481740797756,481740797756,"Sul","BLUMENAU","Singular","Livre Admissão","Clássica","COOPCENTRAL AILOS",1,"1966-08-18",56,794684,722448,72236,1627257457560
70038237,"COOPERATIVA DE CRÉDITO - SICREDI RIO GRANDE DO NORTE","ERNST & YOUNG A I S/S",0,"Autorizada em Atividade","RN","www.sicredi.com.br/natal/","S5",7,170802954672,9738717211,-3123637911,4129812534,68214165277,"1861441,83",205633022,846320160,-1241650782,7900968606,88131055144,31021876448,31021876448,"Nordeste","NATAL","Singular","Livre Admissão","Clássica","CENTRAL SICREDI NORTE/NORDESTE",1,"1993-11-19",29,12309,7308,5001,170802954672
42873828,"COOPERATIVA DE CRÉDITO AGROCREDI LTDA. - SICOOB AGROCREDI","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES",0,"Autorizada em Atividade","MG","www.agrocredi.com.br","S4",104,377906368015,25653762089,-5927953374,8638297875,81293451954,"13988881,71",1398888171,1861917864,-2515124639,6228424840,246452317715,45403861153,45403861153,"Sudeste","GUAXUPE","Singular","Livre Admissão","Clássica","CCC MINAS GERAIS - CREDIMINAS",1,"1992-08-06",30,64621,52652,11969,377906368015
21110927,"COOPERATIVA DE CRÉDITO CLÁSSICA DOS FUNCIONÁRIOS E PRESTADORES DE SERVIÇOS DAS EMPRESAS LIGADAS AO GRUPO EUCATUR LTDA. - SICOOB EUCRED","MOORE PRISMA AUDITORES INDEPENDENTES",0,"Autorizada em Atividade","RO","https://www.sicoob.com.br/web/sicoobeucred","S5",4,10636888992,453367772,-308005085,277884943,1253196138,"641331,10",64884290,-8023851,-69136224,461391623,8854944325,823749472,823749472,"Norte","JI-PARANA","Singular","Empregados ou Servidores","Clássica","CCC DO NORTE DO BRASIL",0,"2014-09-24",8,5170,4874,296,10636888992
44401800,"COOPERATIVA DE CRÉDITO COGEM","PADRAO AUDITORIA S/S",0,"Autorizada em Atividade","SP","www.cogem.com.br","S5",8,21685501863,7046873098,-938989789,1108915798,NA,"188,95",19267676,92576851,-256973367,6714376286,13745252712,5660324648,5660324648,"Sudeste","SAO BERNARDO DO CAMPO","Singular","Empregados ou Servidores","Clássica",NA,0,"1974-09-16",48,11428,11428,0,21685501863
11969853,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA DA COSTA OESTE - CRESOL COSTA OESTE","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES",0,"Autorizada em Atividade","PR",NA,"S5",8,40640890390,1804454625,-945733458,994752528,6515546718,"1050285,27",105028527,72300515,-254030373,1631844900,21502884847,15907475486,15907475486,"Sul","MEDIANEIRA","Singular","Livre Admissão","Clássica","CCC INT SOL CENTRAL CRESOL BASER",1,"2010-05-12",12,6913,5961,952,40640890390
